Compartment,ETL,Sens
Labile detritus,1.00,1.42
Refractory detritus,1.00,1.45
Phytoplankton,1.00,1.51
Floating Vegetation,1.00,1.51
Periphyton,1.00,1.51
Macrophytes,1.00,1.51
Epiphytes,1.00,1.51
Understory,1.00,1.51
Vine leaves,1.00,1.51
Hardwood leaves,1.00,1.51
Cypress leaves,1.00,1.51
Cypress wood,1.00,1.51
Roots,1.00,1.51
Aquatic invertebrates,2.20,2.01
Tadpoles,2.16,2.29
Anseriformes,2.05,2.38
Crayfish,2.26,2.46
Terrestrial invertebrates,2.00,2.55
Living sediments,2.00,2.64
Squirrels,2.00,2.72
Apple snail,2.26,2.74
Prawn,2.26,2.91
Rabbits,2.00,2.97
White-Tailed Deer,2.00,2.97
Living POC,2.00,3.08
Black Bear,2.26,3.30
Small herb. & omni. Fish,2.60,3.48
Galliformes,2.33,3.58
Mice & Rats,2.37,3.77
Wood stork,3.24,3.82
Raccoon,2.74,3.84
Great blue heron,3.24,3.85
Egrets,3.23,3.90
Hogs,2.44,3.96
Other herons,3.21,4.10
White ibis,3.58,4.19
Turtles,2.82,4.28
Woodpeckers,2.52,4.43
Omnivorous passerines,2.53,4.45
Hummingbirds,2.53,4.45
Small carnivorous fish,3.07,5.56
Opossum,2.35,5.61
Kites & Hawks,3.37,6.10
Owls,3.36,6.10
Mink,3.25,6.21
Otter,3.25,6.23
Medium frogs,3.21,6.24
Small frogs,3.21,6.24
Salamanders,3.28,6.32
Large frogs,3.32,6.38
Gruiformes,3.35,6.53
Armadillo,2.90,6.54
Pelecaniformes,3.40,6.61
Large fish,3.42,6.99
Lizards,3.00,7.64
Caprimulgiformes,3.00,7.64
Bats,3.00,7.64
Predatory passerines,3.00,7.64
Shrews,3.00,7.65
Alligators,3.78,8.30
Snakes,3.79,8.58
Salamander larvae,3.20,8.62
Vertebrate detritus,1.00,8.82
Vultures,2.00,10.03
Gray fox,3.41,10.29
Bobcat,3.03,12.96
Florida panther,3.36,13.48
